"ConsumerID","Income","HHSize","Quantity","Brand1","Brand2","Brand3","Brand4","Feature1","Feature2","Feature3","Feature4","Price1","Price2","Price3","Price4","Sales1","Sales2","Sales3","Sales4"
1,9,2,2,0,0,0,1,0,0,0,0,0.108,0.081,0.061000001,0.079000004,0,0,0,2
1,9,2,2,0,1,0,0,0,0,0,0,0.108,0.097999997,0.064000003,0.075000003,0,2,0,0
1,9,2,2,0,1,0,0,0,0,0,0,0.108,0.097999997,0.061000001,0.086000003,0,2,0,0
1,9,2,2,0,1,0,0,0,0,0,0,0.108,0.097999997,0.061000001,0.086000003,0,2,0,0
1,9,2,2,0,1,0,0,0,0,0,0,0.125,0.097999997,0.048999999,0.079000004,0,2,0,0
1,9,2,2,0,1,0,0,0,0,0,0,0.108,0.092,0.050000001,0.079000004,0,2,0,0
1,9,2,1,0,1,0,0,0,0,0,0,0.103,0.081,0.048999999,0.079000004,0,1,0,0
1,9,2,2,0,0,0,1,0,0,0,0,0.108,0.086000003,0.054000001,0.079000004,0,0,0,2
2,7,2,1,1,0,0,0,0,0,0,0,0.108,0.097999997,0.050000001,0.079000004,1,0,0,0
2,7,2,1,1,0,0,0,0,0,0,0,0.108,0.097999997,0.050000001,0.079000004,1,0,0,0
2,7,2,1,1,0,0,0,0,0,0,0,0.108,0.097999997,0.050000001,0.079000004,1,0,0,0
2,7,2,1,1,0,0,0,0,0,0,0,0.108,0.097999997,0.050000001,0.079000004,1,0,0,0
2,7,2,6,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.086000003,0,0,0,6
2,7,2,2,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.086000003,0,0,0,2
2,7,2,2,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004,0,0,0,2
2,7,2,8,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004,0,0,0,8
2,7,2,8,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004,0,0,0,8
2,7,2,6,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004,0,0,0,6
2,7,2,2,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004,0,0,0,2
2,7,2,4,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.081,0,0,0,4
2,7,2,4,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004,0,0,0,4
2,7,2,2,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004,0,0,0,2
2,7,2,2,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.079000004,0,0,0,2
2,7,2,7,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.081,0,0,0,7
2,7,2,1,0,0,0,1,0,0,0,0,0.112,0.081,0.050000001,0.079000004,0,0,0,1
2,7,2,1,0,0,0,1,0,0,0,0,0.112,0.081,0.050000001,0.079000004,0,0,0,1
2,7,2,1,0,0,0,1,0,0,0,0,0.112,0.081,0.050000001,0.079000004,0,0,0,1
2,7,2,14,0,0,0,1,0,0,0,0,0.108,0.081,0.050000001,0.081,0,0,0,14
3,1,1,2,0,1,0,0,0,0,0,0,0.11,0.048999999,0.061000001,0.079000004,0,2,0,0
3,1,1,1,0,1,0,0,0,0,0,0,0.103,0.044,0.048999999,0.079000004,0,1,0,0
3,1,1,1,0,1,0,0,0,0,0,0,0.103,0.044,0.048999999,0.079000004,0,1,0,0
3,1,1,1,1,0,0,0,0,0,0,0,0.032000002,0.094999999,0.057999998,0.103,1,0,0,0
3,1,1,1,1,0,0,0,0,0,0,0,0.108,0.094999999,0.057999998,0.103,1,0,0,0
3,1,1,1,1,0,0,0,0,0,0,0,0.108,0.094999999,0.057999998,0.103,1,0,0,0
3,1,1,2,1,0,0,0,0,0,0,0,0.055,0.086000003,0.054000001,0.079000004,2,0,0,0
3,1,1,2,1,0,0,0,0,0,0,0,0.082999997,0.086000003,0.054000001,0.079000004,2,0,0,0
3,1,1,2,1,0,0,0,0,0,0,0,0.082999997,0.086000003,0.054000001,0.079000004,2,0,0,0
3,1,1,1,1,0,0,0,0,0,0,1,0.115,0.086000003,0.056000002,0.063000001,1,0,0,0
3,1,1,1,1,0,0,0,0,0,0,1,0.032000002,0.086000003,0.056000002,0.063000001,1,0,0,0
3,1,1,2,0,0,0,1,0,0,0,1,0.115,0.086000003,0.061000001,0.063000001,0,0,0,2
3,1,1,2,0,1,0,0,0,0,0,0,0.115,0.055,0.061000001,0.064000003,0,2,0,0
3,1,1,2,0,1,0,0,0,0,1,0,0.115,0.063000001,0.061000001,0.079000004,0,2,0,0
3,1,1,4,0,1,0,0,0,0,0,1,0.041999999,0.030999999,0.061000001,0.063000001,0,4,0,0
4,11,2,4,0,0,1,0,0,0,0,0,0.11,0.081,0.066,0.079000004,0,0,4,0
4,11,2,4,0,0,1,0,0,0,0,0,0.11,0.081,0.066,0.079000004,0,0,4,0
4,11,2,1,0,1,0,0,0,0,0,0,0.13500001,0.081,0.066,0.079000004,0,1,0,0
4,11,2,1,0,1,0,0,0,0,0,0,0.13500001,0.081,0.066,0.079000004,0,1,0,0
4,11,2,2,0,0,1,0,0,0,0,0,0.11,0.081,0.061000001,0.079000004,0,0,2,0
4,11,2,2,0,0,1,0,0,0,0,0,0.11,0.081,0.061000001,0.079000004,0,0,2,0
4,11,2,2,0,0,1,0,0,0,0,0,0.103,0.081,0.048999999,0.079000004,0,0,2,0
4,11,2,2,0,1,0,0,0,0,0,0,0.108,0.086000003,0.050000001,0.079000004,0,2,0,0
4,11,2,2,0,1,0,0,0,0,1,0,0.112,0.086000003,0.061000001,0.079000004,0,2,0,0
4,11,2,4,1,0,0,0,0,0,0,0,0.025,0.086000003,0.054000001,0.079000004,4,0,0,0
4,11,2,2,1,0,0,0,0,0,1,0,0.057999998,0.086000003,0.025,0.079000004,2,0,0,0
4,11,2,2,1,0,0,0,0,0,1,0,0.057999998,0.086000003,0.025,0.079000004,2,0,0,0
4,11,2,2,0,0,0,1,0,0,0,1,0.115,0.086000003,0.061000001,0.063000001,0,0,0,2
4,11,2,2,0,1,0,0,0,0,0,0,0.11,0.018999999,0.054000001,0.079000004,0,2,0,0
5,8,3,3,1,0,0,0,0,0,0,0,0.103,0.097999997,0.048999999,0.079000004,3,0,0,0
5,8,3,2,1,0,0,0,0,0,0,0,0.103,0.097999997,0.048999999,0.079000004,2,0,0,0
5,8,3,1,1,0,0,0,0,0,0,0,0.103,0.097999997,0.048999999,0.079000004,1,0,0,0
5,8,3,4,0,1,0,0,0,0,0,0,0.108,0.086000003,0.054000001,0.079000004,0,4,0,0
5,8,3,4,0,1,0,0,0,0,0,0,0.108,0.086000003,0.054000001,0.079000004,0,4,0,0
5,8,3,2,0,1,0,0,0,0,0,0,0.108,0.086000003,0.054000001,0.079000004,0,2,0,0
5,8,3,1,1,0,0,0,0,0,0,0,0.108,0.086000003,0.054000001,0.079000004,1,0,0,0
5,8,3,1,1,0,0,0,0,0,0,0,0.108,0.086000003,0.054000001,0.079000004,1,0,0,0
5,8,3,2,0,1,0,0,0,0,0,0,0.108,0.086000003,0.054000001,0.079000004,0,2,0,0
5,8,3,1,0,1,0,0,0,0,0,0,0.108,0.086000003,0.054000001,0.079000004,0,1,0,0
5,8,3,1,0,1,0,0,0,0,0,0,0.108,0.086000003,0.025,0.079000004,0,1,0,0
5,8,3,1,0,1,0,0,0,0,0,0,0.108,0.086000003,0.025,0.079000004,0,1,0,0
5,8,3,4,0,1,0,0,0,0,0,0,0.122,0.086000003,0.050000001,0.086000003,0,4,0,0
5,8,3,1,1,0,0,0,0,0,0,0,0.125,0.086000003,0.050000001,0.086000003,1,0,0,0
6,8,3,2,0,0,0,1,0,0,0,1,0.115,0.086000003,0.061000001,0.074000001,0,0,0,2
6,8,3,1,0,0,0,1,0,0,0,1,0.115,0.086000003,0.061000001,0.074000001,0,0,0,1
6,8,3,1,0,0,0,1,0,0,0,0,0.108,0.068999998,0.061000001,0.086000003,0,0,0,1
6,8,3,1,0,0,0,1,0,0,0,0,0.108,0.068999998,0.061000001,0.086000003,0,0,0,1
6,8,3,1,0,0,0,1,0,0,0,0,0.115,0.050999999,0.066,0.086000003,0,0,0,1
6,8,3,1,0,0,0,1,0,0,0,0,0.115,0.050999999,0.066,0.086000003,0,0,0,1
6,8,3,1,0,0,0,1,0,0,0,0,0.115,0.081,0.066,0.081,0,0,0,1
6,8,3,2,0,0,0,1,0,0,0,0,0.115,0.081,0.066,0.081,0,0,0,2
